season,rank,player_id,player,age,team,position,games,games_started,minutes_per_game,field_goals_made,field_goal_attempts,field_goal_pct,three_pointers_made,three_point_attempts,three_point_pct,two_pointers_made,two_point_attempts,two_point_pct,effective_field_goal_pct,free_throws_made,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,awards,is_multi_team_total
2024-25,263,watsope01,Peyton Watson,22,DEN,SF,68,18,24.4,3,6.3,0.477,0.7,2,0.353,2.3,4.3,0.534,0.533,1.4,2,0.693,0.7,2.7,3.4,1.4,0.7,1.4,0.8,1.8,8.1,,FALSE
2024-25,264,mitchda01,Davion Mitchell,26,2TM,PG,74,37,27.4,3,6.4,0.468,1.1,2.9,0.398,1.9,3.6,0.525,0.557,0.8,1.1,0.69,0.5,1.8,2.3,4.9,1,0.2,1.7,2.5,7.9,,TRUE
2024-25,265,martica02,Caleb Martin,29,2TM,SF,45,24,27.1,2.9,6.8,0.424,0.8,2.3,0.359,2,4.5,0.458,0.485,1.4,2.2,0.622,1.2,2.8,3.9,2.1,1,0.5,1.2,1.9,7.9,,TRUE
2024-25,266,etienty01,Tyson Etienne,25,BRK,PG,7,0,21.6,2.4,7.4,0.327,1.9,6.3,0.295,0.6,1.1,0.5,0.452,1.1,1.4,0.8,0.4,0.9,1.3,1.7,0.4,0.1,1.1,2.4,7.9,,FALSE
2024-25,267,sharpda01,Day'Ron Sharpe,23,BRK,C,50,2,18.2,3.3,6.3,0.521,0.2,0.9,0.244,3.1,5.4,0.566,0.538,1.1,1.5,0.757,3,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9,,FALSE
2024-25,268,simpskj01,KJ Simpson,22,CHO,PG,36,15,23.4,2.9,8.4,0.346,0.9,3.6,0.254,2,4.8,0.415,0.4,1.1,1.4,0.82,1.1,1.9,3,3.1,0.9,0.2,1.6,1.6,7.8,,FALSE
2024-25,269,mannte01,Terance Mann,28,2TM,SG,67,13,21.1,3.1,6.2,0.496,0.9,2.4,0.368,2.2,3.7,0.58,0.569,0.7,1,0.691,1,2,3,1.8,0.7,0.2,0.7,1.9,7.7,,TRUE
2024-25,270,matkoka01,Karlo Matković,23,NOP,PF,42,7,18.8,3.2,5.6,0.574,0.5,1.6,0.318,2.7,4,0.675,0.619,0.8,1,0.773,1.5,3.5,5,1.1,0.5,1,1,2.5,7.7,,FALSE
2024-25,271,johnsaj01,AJ Johnson,20,2TM,SG,29,11,22,2.8,7.3,0.385,0.8,3.1,0.267,2,4.2,0.472,0.441,1.1,1.3,0.865,0.3,1.8,2,2.6,0.4,0.1,1.2,1.7,7.6,,TRUE
2024-25,272,balllo01,Lonzo Ball,27,CHI,PG,35,14,22.2,2.5,6.9,0.366,1.9,5.6,0.344,0.6,1.4,0.458,0.504,0.6,0.8,0.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,7.6,,FALSE
2024-25,273,tshieos01,Oscar Tshiebwe,25,UTA,C,14,1,18.2,3,5,0.6,0,0,,3,5,0.6,0.6,1.6,2.2,0.742,3.3,5.4,8.7,0.6,0.9,0.1,0.7,1.7,7.6,,FALSE
2024-25,274,mathega01,Garrison Mathews,28,ATL,SG,47,2,17.7,2.2,5.5,0.397,1.8,4.6,0.39,0.4,0.8,0.436,0.562,1.4,1.7,0.821,0.3,1.6,1.9,1.3,0.6,0.3,0.7,1.7,7.5,,FALSE
2024-25,275,thybuma01,Matisse Thybulle,27,POR,SG,15,5,20.8,2.8,5.9,0.477,1.4,3.2,0.438,1.4,2.7,0.525,0.597,0.5,1,0.467,0.9,2.5,3.5,1.9,2.2,0.6,0.9,0.9,7.5,,FALSE
